Label,Messages,Urls
spam,"Hi there, 

We're making some changes at Rytr starting next week, so this is your last chance to share your opinion on Rytr's future. We'd be really grateful if you'd help us out by participating in a 2-minute survey.

Feedback is the lifeblood of startups like Rytr -- it helps ensure that we build features that our customers really want. 

Best of all, to show our gratitude we'll automatically enroll you in a chance to win a $100 gift card ??
https://form.typeform.com/to/vPZMcWs0
Abhi
CEO at Rytr",https://form.typeform.com/to/vPZMcWs0
spam,"Norton™
Your subscription has expired Today.
After the expiry date has passed your devices will become vulnerable for Hackers.

Reference code 50663US
Name Dambagildas
date expires 17 August 2023
account-ID
50663
Keep your Devices Safe NOW >> https://trk.verse-content.com/Norton/loader_only.php?spg=1&transaction_id=7b01559e-3e75-11ee
Available (-55%) Renewal Discount Today : 4 min 19 sec
Renew your subscription by clicking the button bellow.",https://trk.verse-content.com/Norton/loader_only.php?spg=1&transaction_id=7b01559e-3e75-11ee
spam,"*_CANADA VISA LOTTERY 2023/2024 FORMULAIRE DE DEMANDE EST OUVERT_*
Le gouvernement du CANADA a annoncé son intention d';émettre plus de 55 000 cartes Visa plus résident permanent
*Les candidatures sont maintenant ouvertes*
Les étudiants, les travailleurs et les familles peuvent postuler sans limite d';âge
*Tentez votre chance aujourd';hui, vous pourriez être sélectionné*
*Cliquez* *ci-dessous* *et* *Appliquer* *Ici*


 http://data-reward.click/Tewkcn/Canada-Lottery-2023",http://data-reward.click/Tewkcn/Canada-Lottery-2023
spam,"La fédération mondiale de la santé et le Ministère de télécommunication en collaboration avec camtel ont mis en oeuvre des mécanismes pour mettre fin à des petites maladies.
http://cooperationsponge.cn/camtel/tb.php?xp=ye1665576383782",http://cooperationsponge.cn/camtel/tb.php?xp=ye1665576383782
spam,"Bienvenue sur le portail des formulaires de candidature de l'UNICEF.
 
Cliquez sur le lien ci-dessous pour commencer votre inscription.

 Toutes les nationalités peuvent postuler.

 POSTULEZ MAINTENANT 
http://tinyurl.com/unicef-fr ",http://tinyurl.com/unicef-fr
spam,"RECRUTEMENT DE MASSE AU PAM 2023 EMPLOIS.

PROGRAMME ALIMENTAIRE MONDIAL (PAM). Le formulaire RECRUTEMENT 2023 est disponible et le recrutement est lancé pour toute personne intéressée de 18 à 50 ans Plus de 65 000 offres d'emploi.

 Toutes les nationalités sont éligibles pour postuler.


Veuillez noter que PAM ne facture aucun frais à aucune étape du processus de recrutement (candidature, entretien, réunion, voyage, traitement, formation ou tout autre frais)
https://cutr.ke/WFP-JOBS-RECRUITMENT-2023 ",https://cutr.ke/WFP-JOBS-RECRUITMENT-2023 
ham,Il est recommandé de se référer aux sources officielles du Ministère des Télécommunications du Cameroun (Minpostel) pour obtenir des informations fiables et à jour sur les initiatives en cours. Vous pouvez consulter le site officiel du Ministère des Postes et Télécommunications du Cameroun https://www.minpostel.gov.cm/index.php/fr/ pour en savoir plus sur leurs missions et leurs activités.,https://www.minpostel.gov.cm/index.php/fr/
ham,"Binance Meetup des Influenceurs 
Nous sommes ravis de vous convier à un événement spécial réservé à nos utilisateurs influents ! Si vous avez une communauté de plus de 5000 personnes sur les réseaux sociaux, ce message vous concerne directement.
Cet événement exclusif vous offre l'occasion de découvrir notre passionnant programme d'affiliation et comment vous pouvez tirer parti de cette opportunité pour générer des revenus supplémentaires en parrainant de nouveaux utilisateurs, et en partageant notre plateforme avec votre communauté.
Vous pourrez également poser toutes vos questions et obtenir des conseils personnalisés pour maximiser vos gains en tant qu'affilié. 
Date : Samedi 29 Juillet 2023
Heure : 16H00 - 19H00 
Lieu : FAYA HÔTEL Akwa, Douala Cameroon.
Réservez votre place dès maintenant en cliquant [ici] et découvrez comment vous pouvez devenir un ambassadeur Binance.
Nous avons hâte de vous accueillir et de partager cette expérience enrichissante avec vous !",https://www.eventbrite.com/e/billets-binance-meetup-des-influenceurs-675976312347?aff=oddtdtcreator&utm_medium=Email&utm_source=CRM
spam,"Dépêche-toi. Le nombre de lots à gagner est limité! Confirmer maintenant!

Le Plus récent Modèle Limité Leroy Merlin Offre
Obtenez le maintenant! 
 https://elusivesnads.com/0/2/34342/0702fdddfa805c946d7f6f043067d472/1681791-AD2_ABDAAR_WAK_GMAIL_P2_FR-459648/191176104_459685_2
170 Piece Stanley Tool Set

Toutes nos félicitations!

Vous avez été choisi pour participer à notre programme de fidélité pour GRATUITE!",https://elusivesnads.com/0/2/34342/0702fdddfa805c946d7f6f043067d472/1681791-AD2_ABDAAR_WAK_GMAIL_P2_FR-459648/191176104_459685_2
spam,"

Notification de suivi de la livraison de votre colis, ID #00893775-371? 🚚📦

chronopost

49119323440000 
SUIVI >

https://all-news.co/chronopost

⚠️ Nous n'avons pas pu livrer votre colis car personne n'était présent pour signer la livraison.

 Nous avons besoin d'une confirmation d'adresse pour reconfirmer l'envoi du colis.",https://all-news.co/chronopost
